tower_id,tower_name,tower_name_es,latitude,longitude,height_m,height_basis,tower_type,completed_year,completion_status,coordinate_source_id,height_source_id
wikidata-q183536,Tokyo Tower,Tokyo Tower,35.658611111111114,139.74555555555557,332.6,structural_tip,vertical_landmark,1958,completed,wikidata-q183536,wikidata-q183536
wikidata-q57965,Tokyo Skytree,Tokyo Skytree,35.710055555,139.810722222,634,structural_tip,building_or_freestanding_tower,2012,completed,wikidata-q57965,wikidata-q57965
wikidata-q187635,Qutb Minar,Qutb Minar,28.524355,77.185248,72.5,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q187635,wikidata-q187635
wikidata-q223207,Oriental Pearl Tower,Oriental Pearl Tower,31.241669444444,121.49471666667,468,structural_tip,vertical_landmark,1998,completed,wikidata-q223207,wikidata-q223207
wikidata-q18547,Shanghai Tower,Shanghai Tower,31.2355,121.501,632,structural_tip,building_or_freestanding_tower,2014,completed,wikidata-q18547,wikidata-q18547
wikidata-q497536,Jatiya Sangsad Bhaban,Jatiya Sangsad Bhaban,23.762222222,90.378611111,155,structural_tip,building_or_freestanding_tower,1982,completed,wikidata-q497536,wikidata-q497536
wikidata-q197833,China Zun,China Zun,39.911388888,116.460277777,528,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q197833,wikidata-q197833
wikidata-q7285587,Rajabai Clock Tower,Rajabai Clock Tower,18.92964,72.82999,280,structural_tip,vertical_landmark,1878,completed,wikidata-q7285587,wikidata-q7285587
wikidata-q98937711,Three Sixty West Tower B,Three Sixty West Tower B,19.01097,72.82335,361.2,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q98937711,wikidata-q98937711
wikidata-q1148463,Tsūtenkaku,Tsūtenkaku,34.65222222222222,135.50611111111112,108,structural_tip,vertical_landmark,1956,completed,wikidata-q1148463,wikidata-q1148463
wikidata-q16318627,Abeno Harukas,Abeno Harukas,34.645947222,135.514266666,300,structural_tip,building_or_freestanding_tower,2014,completed,wikidata-q16318627,wikidata-q16318627
wikidata-q2571455,Mazar-e-Quaid,Mazar-e-Quaid,24.875277777778,67.040833333333,50,structural_tip,vertical_landmark,1970,completed,wikidata-q2571455,wikidata-q2571455
wikidata-q7076089,Ocean Towers,Ocean Towers,24.829444444,67.035555555,120,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q7076089,wikidata-q7076089
wikidata-q1666430,International Commerce Center 1,International Commerce Center 1,29.55315,106.513725,458,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q1666430,wikidata-q1666430
wikidata-q91274,Galata Tower,Galata Tower,41.02563232486636,28.974153190722507,62.59,structural_tip,vertical_landmark,1349,completed,wikidata-q91274,wikidata-q91274
wikidata-q131388493,CBRT Tower,CBRT Tower,41.002,29.11048,354,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q131388493,wikidata-q131388493
wikidata-q7711913,The 42,The 42,22.54835,88.34975,260,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q7711913,wikidata-q7711913
wikidata-q7142127,Pasig River Light,Pasig River Light,14.5965,120.960722,49,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q7142127,wikidata-q7142127
wikidata-q168400,Canton Tower,Canton Tower,23.1092,113.319147222,600,structural_tip,building_or_freestanding_tower,2010,completed,wikidata-q168400,wikidata-q168400
wikidata-q1353260,Tianjin Radio and Television Tower,Tianjin Radio and Television Tower,39.091944444444,117.175,415.2,structural_tip,vertical_landmark,1991,completed,wikidata-q1353260,wikidata-q1353260
wikidata-q10939987,Tianjin Chow Tai Fook Binhai Center,Tianjin Chow Tai Fook Binhai Center,39.021380555,117.698461111,530,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q10939987,wikidata-q10939987
wikidata-q996962,Minar-e-Pakistan,Minar-e-Pakistan,31.5925,74.30944,62,structural_tip,vertical_landmark,1968,completed,wikidata-q996962,wikidata-q996962
wikidata-q7639954,Suneri Mosque,Suneri Mosque,31.583083,74.319616,54,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q7639954,wikidata-q7639954
wikidata-q283257,Vidhana Soudha,Vidhana Soudha,12.979693,77.590658,50,structural_tip,vertical_landmark,1956,completed,wikidata-q283257,wikidata-q283257
wikidata-q126710631,Shrungagiri Sri Shanmukha Swamy Temple,Shrungagiri Sri Shanmukha Swamy Temple,12.912630555,77.529088888,123,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q126710631,wikidata-q126710631
wikidata-q1077308,Ping An Finance Centre,Ping An Finance Centre,22.536666666,114.050277777,599.05,structural_tip,building_or_freestanding_tower,2017,completed,wikidata-q1077308,wikidata-q1077308
wikidata-q2509435,Valluvar Kottam,Valluvar Kottam,13.05444444,80.24166667,50,structural_tip,vertical_landmark,1976,completed,wikidata-q2509435,wikidata-q2509435
wikidata-q6546309,Chennai Lighthouse,Chennai Lighthouse,13.0396,80.2795,45.72,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q6546309,wikidata-q6546309
wikidata-q30686870,Thamrin Nine,Thamrin Nine,-6.19914,106.82263,382.9,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q30686870,wikidata-q30686870
wikidata-q724970,Wat Arun,Wat Arun,13.743688888888888,100.48891944444445,50,structural_tip,vertical_landmark,1656,completed,wikidata-q724970,wikidata-q724970
wikidata-q1640197,King Power Mahanakhon,King Power Mahanakhon,13.723611111,100.528333333,314,structural_tip,building_or_freestanding_tower,2016,completed,wikidata-q1640197,wikidata-q1640197
wikidata-q1771696,Charminar,Charminar,17.36160692,78.47465723,48.7,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q1771696,wikidata-q1771696
wikidata-q69134,Namsan Seoul Tower,Namsan Seoul Tower,37.551216,126.988276,236.83,structural_tip,vertical_landmark,1980,completed,wikidata-q69134,wikidata-q69134
wikidata-q494895,Lotte World Tower,Lotte World Tower,37.5125,127.1025,555.7,structural_tip,building_or_freestanding_tower,2017,completed,wikidata-q494895,wikidata-q494895
wikidata-q283373,Nagoya TV Tower,Nagoya TV Tower,35.172381,136.908403,180,structural_tip,vertical_landmark,1954,completed,wikidata-q283373,wikidata-q283373
wikidata-q1155401,Midland Square,Midland Square,35.17055556,136.885,247,structural_tip,building_or_freestanding_tower,2007,completed,wikidata-q1155401,wikidata-q1155401
wikidata-q1140026,Azadi Tower,Azadi Tower,35.69972222222222,51.338055555555556,45,structural_tip,vertical_landmark,1971,completed,wikidata-q1140026,wikidata-q1140026
wikidata-q622796,Milad Tower,Milad Tower,35.744611111,51.375333333,435,structural_tip,building_or_freestanding_tower,2008,completed,wikidata-q622796,wikidata-q622796
wikidata-q2118734,Tianfu Panda Tower,Tianfu Panda Tower,30.66444,104.09222,50,structural_tip,vertical_landmark,2006,completed,wikidata-q2118734,wikidata-q2118734
wikidata-q18589922,Chengdu Greenland Tower,Chengdu Greenland Tower,30.60678,104.1543,468,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q18589922,wikidata-q18589922
wikidata-q382121,Zifeng Tower,Zifeng Tower,32.062472222,118.778055555,450,structural_tip,building_or_freestanding_tower,2010,completed,wikidata-q382121,wikidata-q382121
wikidata-q462372,Tower of the Yellow Crane,Tower of the Yellow Crane,30.54694444,114.29694444,50,structural_tip,vertical_landmark,1985,completed,wikidata-q462372,wikidata-q462372
wikidata-q143235,Wuhan Greenland Center,Wuhan Greenland Center,30.585941666,114.317475,475.6,structural_tip,building_or_freestanding_tower,2023,completed,wikidata-q143235,wikidata-q143235
wikidata-q638512,Bitexco Financial Tower,Bitexco Financial Tower,10.771666666667,106.70444444444,265.5,structural_tip,vertical_landmark,2010,completed,wikidata-q638512,wikidata-q638512
wikidata-q18640924,Landmark 81,Landmark 81,10.795,106.721944444,461.5,structural_tip,building_or_freestanding_tower,2018,completed,wikidata-q18640924,wikidata-q18640924
wikidata-q83063,Petronas Towers,Petronas Towers,3.1577777777777776,101.71166666666667,1483,structural_tip,vertical_landmark,1999,completed,wikidata-q83063,wikidata-q83063
wikidata-q7969454,Merdeka 118,Merdeka 118,3.141666666,101.700722222,678.9,structural_tip,building_or_freestanding_tower,2023,completed,wikidata-q7969454,wikidata-q7969454
wikidata-q1047061,Giant Wild Goose Pagoda,Giant Wild Goose Pagoda,34.219769,108.959335,50,structural_tip,vertical_landmark,648,completed,wikidata-q1047061,wikidata-q1047061
wikidata-q99208458,China International Silk Road Center,China International Silk Road Center,34.2599,108.7667,498,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q99208458,wikidata-q99208458
wikidata-q1070,Ahmedabad,Ahmedabad,23.021944444444443,72.57972222222222,50,structural_tip,building_or_freestanding_tower,1411,completed,wikidata-q1070,wikidata-q1070
wikidata-q317034,International Commerce Centre,International Commerce Centre,22.303391666,114.160169444,484,structural_tip,building_or_freestanding_tower,2010,completed,wikidata-q317034,wikidata-q317034
wikidata-q548679,Marina Bay Sands,Marina Bay Sands,1.2825,103.86,50,structural_tip,vertical_landmark,2010,completed,wikidata-q548679,wikidata-q548679
wikidata-q2813490,CPF Building,CPF Building,1.276833333,103.847861111,561,structural_tip,building_or_freestanding_tower,1900,completed,wikidata-q2813490,wikidata-q2813490
wikidata-q1407266,Baghdad Tower,Baghdad Tower,33.30333333333333,44.35416666666667,205,structural_tip,vertical_landmark,1994,completed,wikidata-q1407266,wikidata-q1407266
