source_id,publisher,title,url,accessed_at,source_type,licence_note
un-wup-2024,United Nations DESA,World Urbanization Prospects 2024,https://population.un.org/wup/,2026-09-16,coverage frame,UN data; attribution required
ourairports-2026-09-14,OurAirports,OurAirports open data snapshot,https://ourairports.com/data/,2026-09-16,airport coordinates and discovery,Public domain
aci-world-2025-passengers,Airports Council International World,Busiest airports by overall passenger traffic in 2025,https://aci.aero/resources/busiest-airports-in-the-world/,2026-09-16,annual airport passenger demand,Published ranking; reuse note pending
aena-2025-annual-traffic,Aena,Annual airport traffic report 2025,https://www.aena.es/es/estadisticas/informes-anuales.html,2026-09-16,annual airport passenger demand,Official provisional annual statistics
wikidata-q183536,Wikidata contributors,Tokyo Tower,https://www.wikidata.org/wiki/Q183536,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q57965,Wikidata contributors,Tokyo Skytree,https://www.wikidata.org/wiki/Q57965,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q187635,Wikidata contributors,Qutb Minar,https://www.wikidata.org/wiki/Q187635,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q223207,Wikidata contributors,Oriental Pearl Tower,https://www.wikidata.org/wiki/Q223207,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q18547,Wikidata contributors,Shanghai Tower,https://www.wikidata.org/wiki/Q18547,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q497536,Wikidata contributors,Jatiya Sangsad Bhaban,https://www.wikidata.org/wiki/Q497536,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q197833,Wikidata contributors,China Zun,https://www.wikidata.org/wiki/Q197833,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q7285587,Wikidata contributors,Rajabai Clock Tower,https://www.wikidata.org/wiki/Q7285587,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q98937711,Wikidata contributors,Three Sixty West Tower B,https://www.wikidata.org/wiki/Q98937711,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q1148463,Wikidata contributors,Tsūtenkaku,https://www.wikidata.org/wiki/Q1148463,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q16318627,Wikidata contributors,Abeno Harukas,https://www.wikidata.org/wiki/Q16318627,2026-09-16,tower coordinates and height,CC0 structured data
wikidata-q2571455,Wikidata contributors,Mazar-e-Quaid,https://www.wikidata.org/wiki/Q2571455,2026-09-16,tower coordinates and height,CC0 structured data
